Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A probabilistic approach to printed document understanding","International Journal on Document Analysis and Recognition (IJDAR)","","14","4","10.1007/s10032-010-0137-1","Eric MedvetAlberto BartoliGiorgio Davanzo","2011","http://link.springer.com/article/10.1007/s10032-010-0137-1","Article"
"TEG—a hybrid approach to information extraction","Knowledge and Information Systems","","9","1","10.1007/s10115-005-0204-y","Ronen FeldmanBenjamin RosenfeldMoshe Fresko","2006","http://link.springer.com/article/10.1007/s10115-005-0204-y","Article"
"Efficient multiscale Sauvola’s binarization","International Journal on Document Analysis and Recognition (IJDAR)","","17","2","10.1007/s10032-013-0209-0","Guillaume LazzaraThierry Géraud","2014","http://link.springer.com/article/10.1007/s10032-013-0209-0","Article"
"Effective Result Inference for Context-Sensitive Tasks in Crowdsourcing","Database Systems for Advanced Applications","","","","10.1007/978-3-319-32025-0_3","Yili FangHailong SunGuoliang LiRichong ZhangJinpeng Huai","2016","http://link.springer.com/chapter/10.1007/978-3-319-32025-0_3","Chapter"
"Discriminative vessel segmentation in retinal images by fusing context-aware hybrid features","Machine Vision and Applications","","25","7","10.1007/s00138-014-0638-x","Erkang ChengLiang DuYi WuYing J. ZhuVasileios MegalooikonomouHaibin Ling","2014","http://link.springer.com/article/10.1007/s00138-014-0638-x","Article"
"iLPR: an Indian license plate recognition system","Multimedia Tools and Applications","","74","23","10.1007/s11042-014-2196-7","Satadal SahaSubhadip BasuMita Nasipuri","2015","http://link.springer.com/article/10.1007/s11042-014-2196-7","Article"
"Special issue on intelligent urban computing with big data","Machine Vision and Applications","","28","7","10.1007/s00138-017-0877-8","Wu LiuPeng CuiJukka K. NurminenJingdong Wang","2017","http://link.springer.com/article/10.1007/s00138-017-0877-8","Article"
"Off-line cursive script recognition: current advances, comparisons and remaining problems","Artificial Intelligence Review","","37","4","10.1007/s10462-011-9229-7","Amjad RehmanTanzila Saba","2012","http://link.springer.com/article/10.1007/s10462-011-9229-7","Article"
"Indexing, Browsing, and Searching of Digital Video and Digital Audio Information","Lectures on Information Retrieval","","","","10.1007/3-540-45368-7_5","Alan F. Smeaton","2001","http://link.springer.com/chapter/10.1007/3-540-45368-7_5","Chapter"
"Robust Object Detection with Interleaved Categorization and Segmentation","International Journal of Computer Vision","","77","1 - 3","10.1007/s11263-007-0095-3","Bastian LeibeAleš LeonardisBernt Schiele","2008","http://link.springer.com/article/10.1007/s11263-007-0095-3","Article"
"A comprehensive study of visual event computing","Multimedia Tools and Applications","","55","3","10.1007/s11042-010-0560-9","WeiQi YanDeclan F. KieranSetareh RafatiradRamesh Jain","2011","http://link.springer.com/article/10.1007/s11042-010-0560-9","Article"
"A Methodology for Constructing User-Oriented Requirements Specifications for Large-Scale Systems Using Electronic Hypermedia","Requirements Engineering","","4","1","10.1007/s007660050008","Scott P. Overmyer","1999","http://link.springer.com/article/10.1007/s007660050008","Article"
"Detecting obfuscated malware using reduced opcode set and optimised runtime trace","Security Informatics","","5","1","10.1186/s13388-016-0027-2","Philip O’kaneSakir SezerKieran McLaughlin","2016","http://link.springer.com/article/10.1186/s13388-016-0027-2","Article"
"The Alchemy of Intelligent IT (iIT): A Blueprint for Future Information Technology","Intelligent Technologies for Information Analysis","","","","10.1007/978-3-662-07952-2_1","Ning ZhongJiming Liu","2004","http://link.springer.com/chapter/10.1007/978-3-662-07952-2_1","Chapter"
"Agent-based decentralised coordination for sensor networks using the max-sum algorithm","Autonomous Agents and Multi-Agent Systems","","28","3","10.1007/s10458-013-9225-1","A. FarinelliA. RogersN. R. Jennings","2014","http://link.springer.com/article/10.1007/s10458-013-9225-1","Article"
"Reversible Interpolation of Vectorial Images by an Anisotropic Diffusion-Projection PDE","International Journal of Computer Vision","","84","2","10.1007/s11263-008-0132-x","Anastasios RoussosPetros Maragos","2009","http://link.springer.com/article/10.1007/s11263-008-0132-x","Article"
"RGB-D Hand-Held Object Recognition Based on Heterogeneous Feature Fusion","Journal of Computer Science and Technology","","30","2","10.1007/s11390-015-1527-0","Xiong LvShu-Qiang JiangLuis HerranzShuang Wang","2015","http://link.springer.com/article/10.1007/s11390-015-1527-0","Article"
"Feature Learning and Deep Learning Architecture Survey","Computer Vision Metrics","","","","10.1007/978-3-319-33762-3_10","Scott Krig","2016","http://link.springer.com/chapter/10.1007/978-3-319-33762-3_10","Chapter"
